bill_no,line_no,product_code,qty,unit_price,line_type,ts
S02/20240517/00001,1,P100652,2,43.95,SALE,2024-05-17T18:22:38
S02/20240517/00001,2,P102945,1,43.42,SALE,2024-05-17T18:22:38
S02/20240517/00001,3,P103354,2,844.26,SALE,2024-05-17T18:22:38
S02/20240517/00001,4,P106885,1,132.48,SALE,2024-05-17T18:22:38
S02/20240517/00001,5,P102566,1,415.94,SALE,2024-05-17T18:22:38
S02/20240517/00001,6,P102849,4,641.17,SALE,2024-05-17T18:22:38
S02/20240517/00001,7,P102947,2,59.21,SALE,2024-05-17T18:22:38
S02/20240517/00001,8,P104658,1,73.05,SALE,2024-05-17T18:22:38
S02/20240517/00001,9,TAX,1,379.70,TAX,2024-05-17T18:22:38
S02/20240517/00001,10,TENDER,1,5504.11,TENDER,2024-05-17T18:22:38
S02/20240517/00002,1,P102460,2,548.91,SALE,2024-05-17T17:14:42
S02/20240517/00002,2,P104042,2,346.95,SALE,2024-05-17T17:14:42
S02/20240517/00002,3,P107449,4,1495.62,SALE,2024-05-17T17:14:42
S02/20240517/00002,4,TAX,1,856.06,TAX,2024-05-17T17:14:42
S02/20240517/00002,5,TENDER,1,8630.26,TENDER,2024-05-17T17:14:42
S02/20240517/00003,1,P104512,2,94.53,SALE,2024-05-17T19:33:41
S02/20240517/00003,2,P106382,1,81.60,SALE,2024-05-17T19:33:41
S02/20240517/00003,3,P107385,2,797.95,SALE,2024-05-17T19:33:41
S02/20240517/00003,4,P101152,2,478.44,SALE,2024-05-17T19:33:41
S02/20240517/00003,5,P104567,1,141.21,SALE,2024-05-17T19:33:41
S02/20240517/00003,6,P107667,3,338.95,SALE,2024-05-17T19:33:41
S02/20240517/00003,7,TAX,1,400.45,TAX,2024-05-17T19:33:41
S02/20240517/00003,8,TENDER,1,4381.95,TENDER,2024-05-17T19:33:41
S02/20240517/00004,1,P106697,1,342.69,SALE,2024-05-17T21:13:32
S02/20240517/00004,2,P106891,2,642.78,SALE,2024-05-17T21:13:32
S02/20240517/00004,3,P103262,2,54.76,SALE,2024-05-17T21:13:32
S02/20240517/00004,4,DISC,1,-131.27,DISCOUNT,2024-05-17T21:13:32
S02/20240517/00004,5,TAX,1,102.50,TAX,2024-05-17T21:13:32
