bill_no,line_no,product_code,qty,unit_price,line_type,ts
S04/20240730/00001,1,P106885,2,132.48,SALE,2024-07-30T13:00:08
S04/20240730/00001,2,P100033,1,828.62,SALE,2024-07-30T13:00:08
S04/20240730/00001,3,P103118,3,42.98,SALE,2024-07-30T13:00:08
S04/20240730/00001,4,P107458,2,1239.88,SALE,2024-07-30T13:00:08
S04/20240730/00001,5,P102814,5,543.50,SALE,2024-07-30T13:00:08
S04/20240730/00001,6,P100999,3,161.56,SALE,2024-07-30T13:00:08
S04/20240730/00001,7,TAX,1,231.45,TAX,2024-07-30T13:00:08
S04/20240730/00001,8,TENDER,1,7135.91,TENDER,2024-07-30T13:00:08
S04/20240730/00002,1,P103504,2,361.87,SALE,2024-07-30T20:07:28
S04/20240730/00002,2,P100816,2,806.93,SALE,2024-07-30T20:07:28
S04/20240730/00002,3,P100658,2,50.53,SALE,2024-07-30T20:07:28
S04/20240730/00002,4,P107217,2,279.38,SALE,2024-07-30T20:07:28
S04/20240730/00002,5,P105337,2,31.85,SALE,2024-07-30T20:07:28
S04/20240730/00002,6,TAX,1,350.75,TAX,2024-07-30T20:07:28
S04/20240730/00002,7,TENDER,1,3411.87,TENDER,2024-07-30T20:07:28
S04/20240730/00003,1,P106844,3,23.44,SALE,2024-07-30T14:03:39
S04/20240730/00003,2,P100499,2,234.95,SALE,2024-07-30T14:03:39
S04/20240730/00003,3,P103348,1,485.60,SALE,2024-07-30T14:03:39
S04/20240730/00003,4,TAX,1,93.33,TAX,2024-07-30T14:03:39
S04/20240730/00003,5,TENDER,1,1119.15,TENDER,2024-07-30T14:03:39
S04/20240730/00004,1,P106084,2,592.14,SALE,2024-07-30T15:08:40
S04/20240730/00004,2,P103484,2,109.59,SALE,2024-07-30T15:08:40
S04/20240730/00004,3,P100387,3,116.37,SALE,2024-07-30T15:08:40
S04/20240730/00004,4,P104469,3,1548.25,SALE,2024-07-30T15:08:40
S04/20240730/00004,5,P100985,2,288.61,SALE,2024-07-30T15:08:40
S04/20240730/00004,6,P101674,1,373.95,SALE,2024-07-30T15:08:40
