bill_no;line_no;item_code;quantity;rate;type;txn_time
S09/20241209/00001;1;P102184;3;101.58;SALE;09-12-2024 16:49:37
S09/20241209/00001;2;P105468;2;1100.43;SALE;09-12-2024 16:49:37
S09/20241209/00001;3;P104718;1;364.54;SALE;09-12-2024 16:49:37
S09/20241209/00001;4;P100640;1;379.48;SALE;09-12-2024 16:49:37
S09/20241209/00001;5;P107859;2;136.84;SALE;09-12-2024 16:49:37
S09/20241209/00001;6;P107884;4;29.77;SALE;09-12-2024 16:49:37
S09/20241209/00001;7;P101156;2;95.07;SALE;09-12-2024 16:49:37
S09/20241209/00001;8;TAX;1;298.80;TAX;09-12-2024 16:49:37
S09/20241209/00001;9;TENDER;1;4131.32;TENDER;09-12-2024 16:49:37
S09/20241209/00002;1;P103504;1;366.55;SALE;09-12-2024 10:16:32
S09/20241209/00002;2;P101327;3;233.22;SALE;09-12-2024 10:16:32
S09/20241209/00002;3;P100933;3;276.15;SALE;09-12-2024 10:16:32
S09/20241209/00002;4;P103496;2;70.71;SALE;09-12-2024 10:16:32
S09/20241209/00002;5;TAX;1;344.50;TAX;09-12-2024 10:16:32
S09/20241209/00002;6;TENDER;1;2380.58;TENDER;09-12-2024 10:16:32
S09/20241209/00003;1;P105377;3;275.11;SALE;09-12-2024 18:01:10
S09/20241209/00003;2;P102096;1;982.72;SALE;09-12-2024 18:01:10
S09/20241209/00003;3;P107449;3;1495.62;SALE;09-12-2024 18:01:10
S09/20241209/00003;4;P107597;2;562.77;SALE;09-12-2024 18:01:10
S09/20241209/00003;5;P106858;1;281.23;SALE;09-12-2024 18:01:10
S09/20241209/00003;6;P106024;2;472.89;SALE;09-12-2024 18:01:10
S09/20241209/00003;7;P107463;3;188.92;SALE;09-12-2024 18:01:10
S09/20241209/00003;8;TAX;1;1134.54;TAX;09-12-2024 18:01:10
S09/20241209/00003;9;TENDER;1;10348.76;TENDER;09-12-2024 18:01:10
S09/20241209/00004;1;P100731;4;254.77;SALE;09-12-2024 16:13:44
S09/20241209/00004;2;P103243;2;231.63;SALE;09-12-2024 16:13:44
S09/20241209/00004;3;P107646;2;225.19;SALE;09-12-2024 16:13:44
S09/20241209/00004;4;DISC;1;-228.79;DISCOUNT;09-12-2024 16:13:44
S09/20241209/00004;5;TAX;1;201.99;TAX;09-12-2024 16:13:44
S09/20241209/00004;6;TENDER;1;1905.92;TENDER;09-12-2024 16:13:44
S09/20241209/00005;1;P107623;2;468.34;SALE;09-12-2024 13:51:29
S09/20241209/00005;2;P104058;1;351.54;SALE;09-12-2024 13:51:29
S09/20241209/00005;3;TAX;1;231.88;TAX;09-12-2024 13:51:29
S09/20241209/00005;4;TENDER;1;1520.10;TENDER;09-12-2024 13:51:29
S09/20241209/00006;1;P101410;4;958.72;SALE;09-12-2024 20:01:33
S09/20241209/00006;2;P107385;4;811.35;SALE;09-12-2024 20:01:33
S09/20241209/00006;3;P101481;3;55.03;SALE;09-12-2024 20:01:33
S09/20241209/00006;4;TAX;1;630.71;TAX;09-12-2024 20:01:33
S09/20241209/00006;5;TENDER;1;7876.08;TENDER;09-12-2024 20:01:33
S09/20241209/00007;1;P105507;2;22.07;SALE;09-12-2024 14:40:43
S09/20241209/00007;2;P105729;2;75.27;SALE;09-12-2024 14:40:43
S09/20241209/00007;3;P103074;2;52.85;SALE;09-12-2024 14:40:43
S09/20241209/00007;4;P104802;6;213.28;SALE;09-12-2024 14:40:43
S09/20241209/00007;5;TAX;1;276.47;TAX;09-12-2024 14:40:43
S09/20241209/00007;6;TENDER;1;1856.53;TENDER;09-12-2024 14:40:43
S09/20241209/00008;1;P102375;2;509.34;SALE;09-12-2024 12:27:19
S09/20241209/00008;2;P106542;2;139.24;SALE;09-12-2024 12:27:19
S09/20241209/00008;3;P107837;2;104.51;SALE;09-12-2024 12:27:19
S09/20241209/00008;4;P106833;2;446.47;SALE;09-12-2024 12:27:19
S09/20241209/00008;5;TAX;1;431.84;TAX;09-12-2024 12:27:19
S09/20241209/00008;6;TENDER;1;2830.96;TENDER;09-12-2024 12:27:19
S09/20241209/00009;1;P101064;1;33.84;SALE;09-12-2024 14:01:54
S09/20241209/00009;2;P105666;1;1064.29;SALE;09-12-2024 14:01:54
S09/20241209/00009;3;P103465;1;32.05;SALE;09-12-2024 14:01:54
S09/20241209/00009;4;TAX;1;11.86;TAX;09-12-2024 14:01:54
S09/20241209/00009;5;TENDER;1;1142.04;TENDER;09-12-2024 14:01:54
S09/20241209/00010;1;P108262;4;592.59;SALE;09-12-2024 15:53:39
S09/20241209/00010;2;P101690;2;1044.81;SALE;09-12-2024 15:53:39
S09/20241209/00010;3;P105971;1;1150.46;SALE;09-12-2024 15:53:39
S09/20241209/00010;4;TAX;1;588.67;TAX;09-12-2024 15:53:39
