bill_no,line_no,product_code,qty,unit_price,line_type,ts
S03/20241118/00001,1,P105246,2,840.69,SALE,2024-11-18T12:04:04
S03/20241118/00001,2,P100131,5,667.83,SALE,2024-11-18T12:04:04
S03/20241118/00001,3,P107422,2,193.56,SALE,2024-11-18T12:04:04
S03/20241118/00001,4,P108272,3,121.99,SALE,2024-11-18T12:04:04
S03/20241118/00001,5,P105547,3,431.77,SALE,2024-11-18T12:04:04
S03/20241118/00001,6,TAX,1,703.48,TAX,2024-11-18T12:04:04
S03/20241118/00001,7,TENDER,1,7772.41,TENDER,2024-11-18T12:04:04
S03/20241118/00002,1,P106802,1,739.16,SALE,2024-11-18T10:20:10
S03/20241118/00002,2,P102081,2,164.15,SALE,2024-11-18T10:20:10
S03/20241118/00002,3,P105603,1,202.29,SALE,2024-11-18T10:20:10
S03/20241118/00002,4,TAX,1,132.46,TAX,2024-11-18T10:20:10
S03/20241118/00002,5,TENDER,1,1402.21,TENDER,2024-11-18T10:20:10
S03/20241118/00003,1,P103022,2,60.43,SALE,2024-11-18T18:00:25
S03/20241118/00003,2,P100652,3,45.46,SALE,2024-11-18T18:00:25
S03/20241118/00003,3,TAX,1,39.05,TAX,2024-11-18T18:00:25
S03/20241118/00003,4,TENDER,1,296.29,TENDER,2024-11-18T18:00:25
S03/20241118/00004,1,P102286,2,281.91,SALE,2024-11-18T14:06:24
S03/20241118/00004,2,P102947,3,59.21,SALE,2024-11-18T14:06:24
S03/20241118/00004,3,P103822,1,594.96,SALE,2024-11-18T14:06:24
S03/20241118/00004,4,P102207,1,342.36,SALE,2024-11-18T14:06:24
S03/20241118/00004,5,P101218,1,61.39,SALE,2024-11-18T14:06:24
S03/20241118/00004,6,P102346,2,89.47,SALE,2024-11-18T14:06:24
S03/20241118/00004,7,P102874,2,142.11,SALE,2024-11-18T14:06:24
S03/20241118/00004,8,TAX,1,296.40,TAX,2024-11-18T14:06:24
S03/20241118/00004,9,TENDER,1,2499.72,TENDER,2024-11-18T14:06:24
