bill_no;line_no;item_code;quantity;rate;type;txn_time
S08/20240301/00001;1;P102045;2;21.31;SALE;01-03-2024 22:13:44
S08/20240301/00001;2;P108050;1;1178.10;SALE;01-03-2024 22:13:44
S08/20240301/00001;3;P107508;1;1450.59;SALE;01-03-2024 22:13:44
S08/20240301/00001;4;P107943;3;252.32;SALE;01-03-2024 22:13:44
S08/20240301/00001;5;P105937;1;259.08;SALE;01-03-2024 22:13:44
S08/20240301/00001;6;TAX;1;423.53;TAX;01-03-2024 22:13:44
S08/20240301/00001;7;TENDER;1;4110.88;TENDER;01-03-2024 22:13:44
S08/20240301/00002;1;P107759;2;229.95;SALE;01-03-2024 11:46:26
S08/20240301/00002;2;P104011;5;655.99;SALE;01-03-2024 11:46:26
S08/20240301/00002;3;P107880;2;307.95;SALE;01-03-2024 11:46:26
S08/20240301/00002;4;P103999;1;100.52;SALE;01-03-2024 11:46:26
S08/20240301/00002;5;P106207;2;459.95;SALE;01-03-2024 11:46:26
S08/20240301/00002;6;P104844;2;530.87;SALE;01-03-2024 11:46:26
S08/20240301/00002;7;TAX;1;418.49;TAX;01-03-2024 11:46:26
S08/20240301/00002;8;TENDER;1;6856.40;TENDER;01-03-2024 11:46:26
S08/20240301/00003;1;P104160;2;258.63;SALE;01-03-2024 16:24:10
S08/20240301/00003;2;P107555;3;1314.43;SALE;01-03-2024 16:24:10
S08/20240301/00003;3;P108234;3;32.17;SALE;01-03-2024 16:24:10
S08/20240301/00003;4;P102445;2;27.50;SALE;01-03-2024 16:24:10
S08/20240301/00003;5;P100260;2;1124.20;SALE;01-03-2024 16:24:10
S08/20240301/00003;6;P107946;2;303.95;SALE;01-03-2024 16:24:10
S08/20240301/00003;7;P103382;2;187.59;SALE;01-03-2024 16:24:10
S08/20240301/00003;8;P103354;3;782.27;SALE;01-03-2024 16:24:10
S08/20240301/00003;9;P100172;1;171.71;SALE;01-03-2024 16:24:10
S08/20240301/00003;10;TAX;1;54.62;TAX;01-03-2024 16:24:10
S08/20240301/00003;11;TENDER;1;10416.68;TENDER;01-03-2024 16:24:10
S08/20240301/00004;1;P104980;2;69.95;SALE;01-03-2024 14:30:30
S08/20240301/00004;2;P103861;2;52.95;SALE;01-03-2024 14:30:30
