ts,bill_no,line_no,line_type,product_code,unit_price,qty
1707222548,S12/20240206/00001,1,SALE,P105127,62.95,4
1707222548,S12/20240206/00001,2,SALE,P103096,277.95,1
1707222548,S12/20240206/00001,3,SALE,P101648,334.22,1
1707222548,S12/20240206/00001,4,SALE,P101747,245.75,5
1707222548,S12/20240206/00001,5,TAX,TAX,140.77,1
1707222548,S12/20240206/00001,6,TENDER,TENDER,2233.49,1
1707237407,S12/20240206/00002,1,SALE,P102516,1272.67,2
1707237407,S12/20240206/00002,2,SALE,P100595,388.65,4
1707237407,S12/20240206/00002,3,SALE,P107040,474.18,3
1707237407,S12/20240206/00002,4,SALE,P103129,79.05,2
1707237407,S12/20240206/00002,5,SALE,P105733,135.79,1
1707237407,S12/20240206/00002,6,TAX,TAX,437.85,1
1707237407,S12/20240206/00002,7,TENDER,TENDER,6254.22,1
1707254649,S12/20240206/00003,1,SALE,P101660,193.14,1
1707254649,S12/20240206/00003,2,SALE,P105236,511.25,1
1707254649,S12/20240206/00003,3,SALE,P100112,91.95,2
1707254649,S12/20240206/00003,4,SALE,P106133,307.37,1
1707254649,S12/20240206/00003,5,SALE,P103616,621.95,3
1707254649,S12/20240206/00003,6,TAX,TAX,252.73,1
1707254649,S12/20240206/00003,7,TENDER,TENDER,3314.24,1
1707225259,S12/20240206/00004,1,SALE,P101237,250.74,1
1707225259,S12/20240206/00004,2,SALE,P100406,325.02,1
1707225259,S12/20240206/00004,3,SALE,P100319,48.05,1
1707225259,S12/20240206/00004,4,SALE,P101327,233.22,1
1707225259,S12/20240206/00004,5,SALE,P103262,54.76,2
1707225259,S12/20240206/00004,6,SALE,P101458,1309.22,2
1707225259,S12/20240206/00004,7,DISCOUNT,DISC,-331.27,1
1707225259,S12/20240206/00004,8,TAX,TAX,87.31,1
1707225259,S12/20240206/00004,9,TENDER,TENDER,3341.03,1
1707246048,S12/20240206/00005,1,SALE,P101533,1020.37,1
1707246048,S12/20240206/00005,2,SALE,P106885,126.37,4
1707246048,S12/20240206/00005,3,SALE,P107320,223.25,3
1707246048,S12/20240206/00005,4,SALE,P102074,415.90,3
1707246048,S12/20240206/00005,5,TAX,TAX,356.19,1
1707246048,S12/20240206/00005,6,TENDER,TENDER,3799.49,1
1707252416,S12/20240206/00006,1,SALE,P106169,221.03,2
1707252416,S12/20240206/00006,2,SALE,P105624,380.06,2
1707252416,S12/20240206/00006,3,SALE,P107231,1193.22,1
1707252416,S12/20240206/00006,4,SALE,P107278,51.95,3
