bill_no;line_no;item_code;quantity;rate;type;txn_time
S08/20240416/00001;1;P100946;4;75.81;SALE;16-04-2024 16:05:15
S08/20240416/00001;2;P108206;2;609.36;SALE;16-04-2024 16:05:15
S08/20240416/00001;3;P102880;2;547.95;SALE;16-04-2024 16:05:15
S08/20240416/00001;4;TAX;1;109.38;TAX;16-04-2024 16:05:15
S08/20240416/00001;5;TENDER;1;2727.24;TENDER;16-04-2024 16:05:15
S08/20240416/00002;1;P100946;2;75.81;SALE;16-04-2024 15:49:18
S08/20240416/00002;2;P106080;2;342.95;SALE;16-04-2024 15:49:18
S08/20240416/00002;3;P106934;4;1554.16;SALE;16-04-2024 15:49:18
S08/20240416/00002;4;P105323;1;73.95;SALE;16-04-2024 15:49:18
S08/20240416/00002;5;TAX;1;113.30;TAX;16-04-2024 15:49:18
S08/20240416/00002;6;TENDER;1;7241.41;TENDER;16-04-2024 15:49:18
S08/20240416/00003;1;P104270;2;1036.53;SALE;16-04-2024 12:43:00
S08/20240416/00003;2;P102014;1;261.84;SALE;16-04-2024 12:43:00
S08/20240416/00003;3;P100150;2;280.80;SALE;16-04-2024 12:43:00
S08/20240416/00003;4;TAX;1;178.86;TAX;16-04-2024 12:43:00
S08/20240416/00003;5;TENDER;1;3075.36;TENDER;16-04-2024 12:43:00
S08/20240416/00004;1;P101762;2;529.95;SALE;16-04-2024 13:09:35
S08/20240416/00004;2;P105198;1;14.66;SALE;16-04-2024 13:09:35
S08/20240416/00004;3;P104242;3;275.95;SALE;16-04-2024 13:09:35
S08/20240416/00004;4;P100840;2;248.08;SALE;16-04-2024 13:09:35
S08/20240416/00004;5;P101762;-2;529.95;VOID;16-04-2024 13:09:35
S08/20240416/00004;6;P105198;-1;14.66;VOID;16-04-2024 13:09:35
S08/20240416/00004;7;P104242;-3;275.95;VOID;16-04-2024 13:09:35
S08/20240416/00004;8;P100840;-2;248.08;VOID;16-04-2024 13:09:35
S08/20240416/00004;9;TAX;1;0.00;TAX;16-04-2024 13:09:35
S08/20240416/00004;10;TENDER;1;0.00;TENDER;16-04-2024 13:09:35
S08/20240416/00005;1;P101037;1;537.96;SALE;16-04-2024 14:05:24
S08/20240416/00005;2;P105400;1;48.10;SALE;16-04-2024 14:05:24
S08/20240416/00005;3;P104965;4;88.45;SALE;16-04-2024 14:05:24
