ts,bill_no,line_no,line_type,product_code,unit_price,qty
1713975817,S12/20240424/00001,1,SALE,P102060,165.83,3
1713975817,S12/20240424/00001,2,SALE,P100549,301.95,2
1713975817,S12/20240424/00001,3,SALE,P108090,129.95,1
1713975817,S12/20240424/00001,4,SALE,P107925,1023.82,1
1713975817,S12/20240424/00001,5,SALE,P102845,80.09,2
1713975817,S12/20240424/00001,6,TAX,TAX,138.17,1
1713975817,S12/20240424/00001,7,TENDER,TENDER,2553.51,1
1713983361,S12/20240424/00002,1,SALE,P102835,101.19,2
1713983361,S12/20240424/00002,2,SALE,P104784,370.89,2
1713983361,S12/20240424/00002,3,SALE,P103129,79.05,1
1713983361,S12/20240424/00002,4,TAX,TAX,127.53,1
1713983361,S12/20240424/00002,5,TENDER,TENDER,1150.74,1
1713972296,S12/20240424/00003,1,SALE,P103337,79.95,2
1713972296,S12/20240424/00003,2,SALE,P103484,109.59,6
1713972296,S12/20240424/00003,3,SALE,P104089,335.03,3
1713972296,S12/20240424/00003,4,SALE,P108397,286.03,2
1713972296,S12/20240424/00003,5,SALE,P105164,216.12,2
1713972296,S12/20240424/00003,6,SALE,P104811,113.95,1
1713972296,S12/20240424/00003,7,SALE,P102181,1394.08,1
1713972296,S12/20240424/00003,8,TAX,TAX,396.43,1
1713972296,S12/20240424/00003,9,TENDER,TENDER,4731.29,1
1713988506,S12/20240424/00004,1,SALE,P100339,299.99,1
1713988506,S12/20240424/00004,2,SALE,P106009,320.74,2
1713988506,S12/20240424/00004,3,SALE,P102243,133.95,2
1713988506,S12/20240424/00004,4,SALE,P100754,91.60,4
1713988506,S12/20240424/00004,5,SALE,P104842,357.87,2
1713988506,S12/20240424/00004,6,SALE,P102480,198.67,2
1713988506,S12/20240424/00004,7,TAX,TAX,223.54,1
1713988506,S12/20240424/00004,8,TENDER,TENDER,2912.39,1
1713977446,S12/20240424/00005,1,SALE,P107226,86.90,5
1713977446,S12/20240424/00005,2,SALE,P108221,51.41,2
1713977446,S12/20240424/00005,3,SALE,P102014,261.84,2
1713977446,S12/20240424/00005,4,TAX,TAX,190.98,1
1713977446,S12/20240424/00005,5,TENDER,TENDER,1251.98,1
1713983317,S12/20240424/00006,1,SALE,P103159,1193.28,3
1713983317,S12/20240424/00006,2,SALE,P100677,227.95,5
1713983317,S12/20240424/00006,3,SALE,P102129,252.76,3
1713983317,S12/20240424/00006,4,SALE,P100260,1124.20,1
1713983317,S12/20240424/00006,5,SALE,P107925,1023.82,2
1713983317,S12/20240424/00006,6,TAX,TAX,345.45,1
1713983317,S12/20240424/00006,7,TENDER,TENDER,8995.16,1
1713974358,S12/20240424/00007,1,SALE,P103111,40.41,2
1713974358,S12/20240424/00007,2,SALE,P101974,302.00,4
1713974358,S12/20240424/00007,3,SALE,P103839,202.77,1
1713974358,S12/20240424/00007,4,SALE,P107266,69.30,3
1713974358,S12/20240424/00007,5,SALE,P105198,14.66,3
1713974358,S12/20240424/00007,6,TAX,TAX,273.65,1
1713974358,S12/20240424/00007,7,TENDER,TENDER,2017.12,1
1713973089,S12/20240424/00008,1,SALE,P101515,53.95,2
1713973089,S12/20240424/00008,2,SALE,P101796,990.67,2
1713973089,S12/20240424/00008,3,SALE,P102636,114.77,4
1713973089,S12/20240424/00008,4,SALE,P104160,258.87,2
1713973089,S12/20240424/00008,5,SALE,P106317,423.01,1
1713973089,S12/20240424/00008,6,SALE,P104579,67.48,4
1713973089,S12/20240424/00008,7,DISCOUNT,DISC,-217.68,1
1713973089,S12/20240424/00008,8,TAX,TAX,162.78,1
1713973089,S12/20240424/00008,9,TENDER,TENDER,3704.09,1
1713974832,S12/20240424/00009,1,SALE,P100652,43.95,3
1713974832,S12/20240424/00009,2,SALE,P100260,1124.20,3
1713974832,S12/20240424/00009,3,SALE,P100281,413.95,1
1713974832,S12/20240424/00009,4,DISCOUNT,DISC,-456.96,1
1713974832,S12/20240424/00009,5,TAX,TAX,39.25,1
1713974832,S12/20240424/00009,6,TENDER,TENDER,3500.69,1
1713953564,S12/20240424/00010,1,SALE,P100260,1124.20,2
1713953564,S12/20240424/00010,2,SALE,P101004,708.94,2
1713953564,S12/20240424/00010,3,SALE,P101762,529.95,1
1713953564,S12/20240424/00010,4,SALE,P100033,763.12,2
1713953564,S12/20240424/00010,5,SALE,P106143,56.15,1
1713953564,S12/20240424/00010,6,SALE,P103701,1171.33,2
1713953564,S12/20240424/00010,7,SALE,P103864,452.72,2
1713953564,S12/20240424/00010,8,TAX,TAX,482.56,1
1713953564,S12/20240424/00010,9,TENDER,TENDER,9509.28,1
1713968474,S12/20240424/00011,1,SALE,P100044,737.05,3
1713968474,S12/20240424/00011,2,SALE,P102874,142.38,1
1713968474,S12/20240424/00011,3,TAX,TAX,272.46,1
1713968474,S12/20240424/00011,4,TENDER,TENDER,2625.99,1
1714001755,S12/20240424/00012,1,SALE,P102014,261.84,1
1714001755,S12/20240424/00012,2,SALE,P107520,150.65,5
1714001755,S12/20240424/00012,3,SALE,P106833,397.38,2
1714001755,S12/20240424/00012,4,DISCOUNT,DISC,-102.08,1
1714001755,S12/20240424/00012,5,TAX,TAX,215.00,1
1714001755,S12/20240424/00012,6,TENDER,TENDER,1922.77,1
1713967027,S12/20240424/00013,1,SALE,P100959,280.97,4
1713967027,S12/20240424/00013,2,SALE,P108239,256.06,3
1713967027,S12/20240424/00013,3,SALE,P105775,104.41,2
1713967027,S12/20240424/00013,4,SALE,P104133,248.31,4
1713967027,S12/20240424/00013,5,SALE,P100819,1203.94,1
1713967027,S12/20240424/00013,6,SALE,P100940,199.52,2
1713967027,S12/20240424/00013,7,DISCOUNT,DISC,-99.68,1
1713967027,S12/20240424/00013,8,TAX,TAX,403.65,1
1713967027,S12/20240424/00013,9,TENDER,TENDER,5001.07,1
1713954961,S12/20240424/00014,1,SALE,P106490,574.62,3
1713954961,S12/20240424/00014,2,SALE,P103629,57.95,1
1713954961,S12/20240424/00014,3,SALE,P101690,1048.95,3
1713954961,S12/20240424/00014,4,SALE,P103864,452.72,1
1713954961,S12/20240424/00014,5,SALE,P104883,342.92,3
1713954961,S12/20240424/00014,6,TAX,TAX,241.85,1
1713954961,S12/20240424/00014,7,TENDER,TENDER,6651.99,1
1713992233,S12/20240424/00015,1,SALE,P103452,1039.07,3
1713992233,S12/20240424/00015,2,SALE,P102389,74.34,1
1713992233,S12/20240424/00015,3,SALE,P106258,423.67,1
1713992233,S12/20240424/00015,4,SALE,P103606,178.05,1
1713992233,S12/20240424/00015,5,SALE,P102993,293.96,3
1713992233,S12/20240424/00015,6,SALE,P104774,84.34,2
1713992233,S12/20240424/00015,7,TAX,TAX,251.86,1
1713992233,S12/20240424/00015,8,TENDER,TENDER,5095.69,1
1713979364,S12/20240424/00016,1,SALE,P103035,1201.33,3
1713979364,S12/20240424/00016,2,SALE,P106024,461.42,2
1713979364,S12/20240424/00016,3,SALE,P102335,94.25,2
1713979364,S12/20240424/00016,4,SALE,P107662,330.01,2
1713979364,S12/20240424/00016,5,SALE,P102248,21.80,4
1713979364,S12/20240424/00016,6,SALE,P108082,236.40,1
1713979364,S12/20240424/00016,7,SALE,P106330,199.12,1
1713979364,S12/20240424/00016,8,SALE,P107171,325.58,3
1713979364,S12/20240424/00016,9,SALE,P100632,331.55,1
1713979364,S12/20240424/00016,10,DISCOUNT,DISC,-374.66,1
1713979364,S12/20240424/00016,11,TAX,TAX,715.11,1
