bill_no,line_no,product_code,qty,unit_price,line_type,ts
S04/20241204/00001,1,P105897,3,249.03,SALE,2024-12-04T14:23:51
S04/20241204/00001,2,P104133,3,248.31,SALE,2024-12-04T14:23:51
S04/20241204/00001,3,P107859,2,136.84,SALE,2024-12-04T14:23:51
S04/20241204/00001,4,P106048,1,310.59,SALE,2024-12-04T14:23:51
S04/20241204/00001,5,P100609,2,75.79,SALE,2024-12-04T14:23:51
S04/20241204/00001,6,DISC,1,-249.64,DISCOUNT,2024-12-04T14:23:51
S04/20241204/00001,7,TAX,1,141.00,TAX,2024-12-04T14:23:51
S04/20241204/00001,8,TENDER,1,2119.23,TENDER,2024-12-04T14:23:51
S04/20241204/00002,1,P108282,2,472.97,SALE,2024-12-04T07:24:48
S04/20241204/00002,2,P100418,2,213.97,SALE,2024-12-04T07:24:48
S04/20241204/00002,3,P100810,4,200.65,SALE,2024-12-04T07:24:48
S04/20241204/00002,4,TAX,1,87.43,TAX,2024-12-04T07:24:48
S04/20241204/00002,5,TENDER,1,2263.91,TENDER,2024-12-04T07:24:48
S04/20241204/00003,1,P105127,1,77.13,SALE,2024-12-04T17:38:49
S04/20241204/00003,2,P100933,4,276.15,SALE,2024-12-04T17:38:49
S04/20241204/00003,3,P107215,3,153.85,SALE,2024-12-04T17:38:49
S04/20241204/00003,4,P102296,2,48.88,SALE,2024-12-04T17:38:49
S04/20241204/00003,5,P105603,3,202.29,SALE,2024-12-04T17:38:49
S04/20241204/00003,6,P100308,5,328.66,SALE,2024-12-04T17:38:49
S04/20241204/00003,7,P107555,1,1209.28,SALE,2024-12-04T17:38:49
S04/20241204/00003,8,TAX,1,582.10,TAX,2024-12-04T17:38:49
S04/20241204/00003,9,TENDER,1,5782.59,TENDER,2024-12-04T17:38:49
S04/20241204/00004,1,P106106,2,219.14,SALE,2024-12-04T14:30:02
S04/20241204/00004,2,P102296,3,48.88,SALE,2024-12-04T14:30:02
S04/20241204/00004,3,P104628,4,196.55,SALE,2024-12-04T14:30:02
S04/20241204/00004,4,P103348,2,485.60,SALE,2024-12-04T14:30:02
S04/20241204/00004,5,P100693,1,107.22,SALE,2024-12-04T14:30:02
S04/20241204/00004,6,P106584,1,247.63,SALE,2024-12-04T14:30:02
S04/20241204/00004,7,P107502,3,311.85,SALE,2024-12-04T14:30:02
S04/20241204/00004,8,TAX,1,483.06,TAX,2024-12-04T14:30:02
S04/20241204/00004,9,TENDER,1,4115.78,TENDER,2024-12-04T14:30:02
S04/20241204/00005,1,P102346,2,89.47,SALE,2024-12-04T15:45:07
S04/20241204/00005,2,P100840,2,248.08,SALE,2024-12-04T15:45:07
S04/20241204/00005,3,P101669,1,56.49,SALE,2024-12-04T15:45:07
S04/20241204/00005,4,P107178,1,298.69,SALE,2024-12-04T15:45:07
S04/20241204/00005,5,P103029,1,11.28,SALE,2024-12-04T15:45:07
S04/20241204/00005,6,P107137,2,32.59,SALE,2024-12-04T15:45:07
S04/20241204/00005,7,P104497,3,229.16,SALE,2024-12-04T15:45:07
S04/20241204/00005,8,TAX,1,185.85,TAX,2024-12-04T15:45:07
S04/20241204/00005,9,TENDER,1,1980.07,TENDER,2024-12-04T15:45:07
S04/20241204/00006,1,P106373,2,48.45,SALE,2024-12-04T17:04:53
S04/20241204/00006,2,P102609,4,183.47,SALE,2024-12-04T17:04:53
