bill_no;line_no;item_code;quantity;rate;type;txn_time
S06/20241117/00001;1;P105062;3;14.84;SALE;17-11-2024 12:21:37
S06/20241117/00001;2;P107264;5;190.99;SALE;17-11-2024 12:21:37
S06/20241117/00001;3;P106452;3;31.15;SALE;17-11-2024 12:21:37
S06/20241117/00001;4;P106948;2;209.81;SALE;17-11-2024 12:21:37
S06/20241117/00001;5;P108200;1;333.41;SALE;17-11-2024 12:21:37
S06/20241117/00001;6;DISC;1;-88.22;DISCOUNT;17-11-2024 12:21:37
S06/20241117/00001;7;TAX;1;233.83;TAX;17-11-2024 12:21:37
S06/20241117/00001;8;TENDER;1;1991.56;TENDER;17-11-2024 12:21:37
S06/20241117/00002;1;P100198;2;162.72;SALE;17-11-2024 18:29:55
S06/20241117/00002;2;P107354;1;227.60;SALE;17-11-2024 18:29:55
S06/20241117/00002;3;DISC;1;-26.24;DISCOUNT;17-11-2024 18:29:55
S06/20241117/00002;4;TAX;1;41.52;TAX;17-11-2024 18:29:55
S06/20241117/00002;5;TENDER;1;568.32;TENDER;17-11-2024 18:29:55
S06/20241117/00003;1;P107178;2;298.69;SALE;17-11-2024 13:11:21
S06/20241117/00003;2;P101404;3;228.51;SALE;17-11-2024 13:11:21
S06/20241117/00003;3;P102000;1;82.98;SALE;17-11-2024 13:11:21
S06/20241117/00003;4;TAX;1;120.90;TAX;17-11-2024 13:11:21
S06/20241117/00003;5;TENDER;1;1486.79;TENDER;17-11-2024 13:11:21
S06/20241117/00004;1;P103035;2;1333.74;SALE;17-11-2024 14:44:44
S06/20241117/00004;2;P107294;3;85.13;SALE;17-11-2024 14:44:44
S06/20241117/00004;3;P108200;2;333.41;SALE;17-11-2024 14:44:44
S06/20241117/00004;4;TAX;1;226.16;TAX;17-11-2024 14:44:44
S06/20241117/00004;5;TENDER;1;3815.85;TENDER;17-11-2024 14:44:44
S06/20241117/00005;1;P106648;3;339.01;SALE;17-11-2024 09:56:57
S06/20241117/00005;2;P103118;1;47.89;SALE;17-11-2024 09:56:57
S06/20241117/00005;3;P101305;1;114.22;SALE;17-11-2024 09:56:57
S06/20241117/00005;4;P102724;2;391.04;SALE;17-11-2024 09:56:57
S06/20241117/00005;5;P105119;3;106.45;SALE;17-11-2024 09:56:57
S06/20241117/00005;6;TAX;1;272.06;TAX;17-11-2024 09:56:57
S06/20241117/00005;7;TENDER;1;2552.63;TENDER;17-11-2024 09:56:57
S06/20241117/00006;1;P103299;1;238.05;SALE;17-11-2024 13:02:37
S06/20241117/00006;2;P103816;2;209.63;SALE;17-11-2024 13:02:37
S06/20241117/00006;3;DISC;1;-74.00;DISCOUNT;17-11-2024 13:02:37
S06/20241117/00006;4;TAX;1;105.00;TAX;17-11-2024 13:02:37
S06/20241117/00006;5;TENDER;1;688.31;TENDER;17-11-2024 13:02:37
S06/20241117/00007;1;P101660;1;193.14;SALE;17-11-2024 16:23:58
S06/20241117/00007;2;P102794;2;416.24;SALE;17-11-2024 16:23:58
S06/20241117/00007;3;P101321;1;24.76;SALE;17-11-2024 16:23:58
S06/20241117/00007;4;TAX;1;14.11;TAX;17-11-2024 16:23:58
S06/20241117/00007;5;TENDER;1;1064.49;TENDER;17-11-2024 16:23:58
S06/20241117/00008;1;P105092;2;57.00;SALE;17-11-2024 15:25:14
S06/20241117/00008;2;P103654;2;481.76;SALE;17-11-2024 15:25:14
S06/20241117/00008;3;P108118;4;66.05;SALE;17-11-2024 15:25:14
S06/20241117/00008;4;DISC;1;-31.20;DISCOUNT;17-11-2024 15:25:14
S06/20241117/00008;5;TAX;1;80.00;TAX;17-11-2024 15:25:14
S06/20241117/00008;6;TENDER;1;1390.52;TENDER;17-11-2024 15:25:14
S06/20241117/00009;1;P107028;2;56.60;SALE;17-11-2024 15:33:35
S06/20241117/00009;2;P107925;2;992.11;SALE;17-11-2024 15:33:35
S06/20241117/00009;3;P107178;1;298.69;SALE;17-11-2024 15:33:35
S06/20241117/00009;4;TAX;1;155.43;TAX;17-11-2024 15:33:35
S06/20241117/00009;5;TENDER;1;2551.54;TENDER;17-11-2024 15:33:35
S06/20241117/00010;1;P108118;2;66.05;SALE;17-11-2024 18:11:23
S06/20241117/00010;2;P106745;1;621.98;SALE;17-11-2024 18:11:23
S06/20241117/00010;3;P103234;3;128.39;SALE;17-11-2024 18:11:23
S06/20241117/00010;4;P105937;1;259.08;SALE;17-11-2024 18:11:23
S06/20241117/00010;5;P103012;1;240.75;SALE;17-11-2024 18:11:23
S06/20241117/00010;6;P108174;3;235.92;SALE;17-11-2024 18:11:23
S06/20241117/00010;7;TAX;1;298.80;TAX;17-11-2024 18:11:23
S06/20241117/00010;8;TENDER;1;2645.64;TENDER;17-11-2024 18:11:23
S06/20241117/00011;1;P103661;2;125.81;SALE;17-11-2024 20:30:31
S06/20241117/00011;2;P106807;2;322.15;SALE;17-11-2024 20:30:31
S06/20241117/00011;3;TAX;1;161.27;TAX;17-11-2024 20:30:31
S06/20241117/00011;4;TENDER;1;1057.19;TENDER;17-11-2024 20:30:31
S06/20241117/00012;1;P106659;1;106.86;SALE;17-11-2024 20:48:54
S06/20241117/00012;2;P106765;1;307.70;SALE;17-11-2024 20:48:54
S06/20241117/00012;3;P104372;3;105.38;SALE;17-11-2024 20:48:54
S06/20241117/00012;4;TAX;1;84.02;TAX;17-11-2024 20:48:54
S06/20241117/00012;5;TENDER;1;814.72;TENDER;17-11-2024 20:48:54
S06/20241117/00013;1;P102207;3;342.36;SALE;17-11-2024 08:32:46
S06/20241117/00013;2;P105119;4;106.45;SALE;17-11-2024 08:32:46
S06/20241117/00013;3;P103904;1;1081.09;SALE;17-11-2024 08:32:46
S06/20241117/00013;4;P108206;3;81.62;SALE;17-11-2024 08:32:46
S06/20241117/00013;5;P107215;1;153.85;SALE;17-11-2024 08:32:46
S06/20241117/00013;6;P106718;1;525.27;SALE;17-11-2024 08:32:46
S06/20241117/00013;7;TAX;1;366.96;TAX;17-11-2024 08:32:46
S06/20241117/00013;8;TENDER;1;3824.91;TENDER;17-11-2024 08:32:46
S06/20241117/00014;1;P106426;2;154.27;SALE;17-11-2024 19:43:23
S06/20241117/00014;2;P103950;1;1283.54;SALE;17-11-2024 19:43:23
S06/20241117/00014;3;P104909;1;363.10;SALE;17-11-2024 19:43:23
S06/20241117/00014;4;P108247;3;252.59;SALE;17-11-2024 19:43:23
S06/20241117/00014;5;TAX;1;256.11;TAX;17-11-2024 19:43:23
S06/20241117/00014;6;TENDER;1;2969.06;TENDER;17-11-2024 19:43:23
S06/20241117/00015;1;P103118;2;47.89;SALE;17-11-2024 09:03:08
S06/20241117/00015;2;P107477;1;116.48;SALE;17-11-2024 09:03:08
S06/20241117/00015;3;TAX;1;10.61;TAX;17-11-2024 09:03:08
S06/20241117/00015;4;TENDER;1;222.87;TENDER;17-11-2024 09:03:08
S06/20241117/00016;1;P100044;3;737.05;SALE;17-11-2024 09:26:53
S06/20241117/00016;2;P107914;2;244.98;SALE;17-11-2024 09:26:53
S06/20241117/00016;3;P103727;2;116.88;SALE;17-11-2024 09:26:53
S06/20241117/00016;4;P100621;1;134.28;SALE;17-11-2024 09:26:53
S06/20241117/00016;5;P105497;2;70.98;SALE;17-11-2024 09:26:53
S06/20241117/00016;6;P102909;2;48.78;SALE;17-11-2024 09:26:53
S06/20241117/00016;7;P105878;2;282.51;SALE;17-11-2024 09:26:53
S06/20241117/00016;8;TAX;1;451.04;TAX;17-11-2024 09:26:53
S06/20241117/00016;9;TENDER;1;4324.73;TENDER;17-11-2024 09:26:53
S06/20241117/00017;1;P104802;3;213.28;SALE;17-11-2024 14:07:30
S06/20241117/00017;2;P102845;2;261.08;SALE;17-11-2024 14:07:30
S06/20241117/00017;3;P102067;2;181.50;SALE;17-11-2024 14:07:30
S06/20241117/00017;4;P106297;1;169.05;SALE;17-11-2024 14:07:30
S06/20241117/00017;5;TAX;1;189.86;TAX;17-11-2024 14:07:30
S06/20241117/00017;6;TENDER;1;1883.91;TENDER;17-11-2024 14:07:30
S06/20241117/00018;1;P103760;1;103.67;SALE;17-11-2024 22:41:36
S06/20241117/00018;2;P105400;2;53.13;SALE;17-11-2024 22:41:36
S06/20241117/00018;3;P107502;1;311.85;SALE;17-11-2024 22:41:36
