ts,bill_no,line_no,line_type,product_code,unit_price,qty
1732455687,S10/20241124/00001,1,SALE,P103661,125.81,1
1732455687,S10/20241124/00001,2,SALE,P105636,558.71,1
1732455687,S10/20241124/00001,3,SALE,P107564,325.35,1
1732455687,S10/20241124/00001,4,SALE,P107126,68.67,1
1732455687,S10/20241124/00001,5,SALE,P102761,170.84,2
1732455687,S10/20241124/00001,6,SALE,P101018,141.83,2
1732455687,S10/20241124/00001,7,SALE,P107848,267.41,1
1732455687,S10/20241124/00001,8,TAX,TAX,83.30,1
1732455687,S10/20241124/00001,9,TENDER,TENDER,2054.59,1
1732478082,S10/20241124/00002,1,SALE,P103309,59.95,1
1732478082,S10/20241124/00002,2,SALE,P103563,26.76,4
1732478082,S10/20241124/00002,3,SALE,P103340,537.50,2
1732478082,S10/20241124/00002,4,SALE,P102248,22.39,1
1732478082,S10/20241124/00002,5,TAX,TAX,215.76,1
1732478082,S10/20241124/00002,6,TENDER,TENDER,1480.14,1
1732462694,S10/20241124/00003,1,SALE,P107520,139.81,1
1732462694,S10/20241124/00003,2,SALE,P108346,534.07,1
1732462694,S10/20241124/00003,3,SALE,P101982,471.80,2
1732462694,S10/20241124/00003,4,TAX,TAX,203.54,1
1732462694,S10/20241124/00003,5,TENDER,TENDER,1821.02,1
1732455645,S10/20241124/00004,1,SALE,P107171,335.20,2
1732455645,S10/20241124/00004,2,SALE,P105562,422.85,2
1732455645,S10/20241124/00004,3,SALE,P106169,221.89,1
1732455645,S10/20241124/00004,4,SALE,P106297,169.05,2
1732455645,S10/20241124/00004,5,SALE,P105468,1100.43,2
1732455645,S10/20241124/00004,6,DISCOUNT,DISC,-157.31,1
1732455645,S10/20241124/00004,7,TAX,TAX,427.20,1
1732455645,S10/20241124/00004,8,TENDER,TENDER,4546.84,1
1732459314,S10/20241124/00005,1,SALE,P102460,582.21,3
1732459314,S10/20241124/00005,2,SALE,P103111,40.41,2
1732459314,S10/20241124/00005,3,SALE,P102963,415.64,2
1732459314,S10/20241124/00005,4,SALE,P102531,160.54,4
1732459314,S10/20241124/00005,5,SALE,P104487,388.90,4
1732459314,S10/20241124/00005,6,SALE,P105729,75.27,4
1732459314,S10/20241124/00005,7,SALE,P104593,867.34,3
1732459314,S10/20241124/00005,8,TAX,TAX,871.17,1
1732459314,S10/20241124/00005,9,TENDER,TENDER,8630.76,1
1732463976,S10/20241124/00006,1,SALE,P105345,335.85,3
1732463976,S10/20241124/00006,2,SALE,P104587,252.25,3
1732463976,S10/20241124/00006,3,SALE,P100519,365.61,2
1732463976,S10/20241124/00006,4,SALE,P101283,263.48,2
1732463976,S10/20241124/00006,5,SALE,P104242,308.27,2
1732463976,S10/20241124/00006,6,SALE,P107743,197.87,1
1732463976,S10/20241124/00006,7,DISCOUNT,DISC,-240.00,1
1732463976,S10/20241124/00006,8,TAX,TAX,345.49,1
1732463976,S10/20241124/00006,9,TENDER,TENDER,3942.38,1
1732463506,S10/20241124/00007,1,SALE,P107686,347.22,4
1732463506,S10/20241124/00007,2,SALE,P103629,60.58,4
1732463506,S10/20241124/00007,3,SALE,P105440,107.89,3
1732463506,S10/20241124/00007,4,SALE,P104628,196.55,2
1732463506,S10/20241124/00007,5,TAX,TAX,380.56,1
1732463506,S10/20241124/00007,6,TENDER,TENDER,2728.53,1
1732459861,S10/20241124/00008,1,SALE,P103918,527.10,2
1732459861,S10/20241124/00008,2,SALE,P107542,162.57,1
1732459861,S10/20241124/00008,3,SALE,P101421,119.60,2
1732459861,S10/20241124/00008,4,SALE,P101174,57.43,3
1732459861,S10/20241124/00008,5,SALE,P106330,218.33,1
1732459861,S10/20241124/00008,6,TAX,TAX,143.68,1
1732459861,S10/20241124/00008,7,TENDER,TENDER,1990.27,1
1732448527,S10/20241124/00009,1,SALE,P100889,1028.39,1
1732448527,S10/20241124/00009,2,SALE,P108001,96.97,4
1732448527,S10/20241124/00009,3,SALE,P106373,48.45,2
1732448527,S10/20241124/00009,4,TAX,TAX,56.26,1
1732448527,S10/20241124/00009,5,TENDER,TENDER,1569.43,1
1732478270,S10/20241124/00010,1,SALE,P105698,194.14,1
1732478270,S10/20241124/00010,2,SALE,P103647,42.08,1
1732478270,S10/20241124/00010,3,SALE,P104454,49.63,2
1732478270,S10/20241124/00010,4,SALE,P100438,63.22,2
1732478270,S10/20241124/00010,5,SALE,P107848,267.41,2
1732478270,S10/20241124/00010,6,SALE,P102096,982.72,2
1732478270,S10/20241124/00010,7,SALE,P101859,66.16,1
1732478270,S10/20241124/00010,8,TAX,TAX,316.76,1
1732478270,S10/20241124/00010,9,TENDER,TENDER,3345.10,1
1732471148,S10/20241124/00011,1,SALE,P102151,1117.25,2
1732471148,S10/20241124/00011,2,SALE,P108216,69.70,3
1732471148,S10/20241124/00011,3,SALE,P105890,1196.88,2
