bill_no;line_no;item_code;quantity;rate;type;txn_time
S06/20240602/00001;1;P100549;1;301.95;SALE;02-06-2024 17:14:58
S06/20240602/00001;2;P101690;1;1048.95;SALE;02-06-2024 17:14:58
S06/20240602/00001;3;P108008;3;128.46;SALE;02-06-2024 17:14:58
S06/20240602/00001;4;DISC;1;-104.87;DISCOUNT;02-06-2024 17:14:58
S06/20240602/00001;5;TAX;1;148.50;TAX;02-06-2024 17:14:58
S06/20240602/00001;6;TENDER;1;1779.91;TENDER;02-06-2024 17:14:58
S06/20240602/00002;1;P100164;2;593.34;SALE;02-06-2024 09:40:00
S06/20240602/00002;2;P105365;1;393.76;SALE;02-06-2024 09:40:00
S06/20240602/00002;3;P104107;1;475.22;SALE;02-06-2024 09:40:00
S06/20240602/00002;4;P100194;2;42.41;SALE;02-06-2024 09:40:00
S06/20240602/00002;5;P103484;2;109.59;SALE;02-06-2024 09:40:00
S06/20240602/00002;6;TAX;1;401.11;TAX;02-06-2024 09:40:00
S06/20240602/00002;7;TENDER;1;2760.77;TENDER;02-06-2024 09:40:00
S06/20240602/00003;1;P105337;2;31.85;SALE;02-06-2024 15:58:19
S06/20240602/00003;2;P103171;2;58.65;SALE;02-06-2024 15:58:19
S06/20240602/00003;3;P103794;2;729.86;SALE;02-06-2024 15:58:19
S06/20240602/00003;4;P105929;3;11.18;SALE;02-06-2024 15:58:19
S06/20240602/00003;5;P106151;4;298.42;SALE;02-06-2024 15:58:19
S06/20240602/00003;6;TAX;1;231.31;TAX;02-06-2024 15:58:19
S06/20240602/00003;7;TENDER;1;3099.25;TENDER;02-06-2024 15:58:19
S06/20240602/00004;1;P105490;3;154.49;SALE;02-06-2024 12:16:20
S06/20240602/00004;2;P104048;3;168.34;SALE;02-06-2024 12:16:20
S06/20240602/00004;3;P108097;3;83.76;SALE;02-06-2024 12:16:20
S06/20240602/00004;4;P100354;2;182.63;SALE;02-06-2024 12:16:20
S06/20240602/00004;5;P104944;1;46.58;SALE;02-06-2024 12:16:20
S06/20240602/00004;6;P105136;1;158.61;SALE;02-06-2024 12:16:20
S06/20240602/00004;7;P102779;1;25.62;SALE;02-06-2024 12:16:20
S06/20240602/00004;8;TAX;1;229.47;TAX;02-06-2024 12:16:20
S06/20240602/00004;9;TENDER;1;2045.31;TENDER;02-06-2024 12:16:20
S06/20240602/00005;1;P105230;3;112.14;SALE;02-06-2024 15:07:41
S06/20240602/00005;2;P100403;2;71.73;SALE;02-06-2024 15:07:41
S06/20240602/00005;3;P102409;5;316.25;SALE;02-06-2024 15:07:41
