bill_no;line_no;item_code;quantity;rate;type;txn_time
S06/20240406/00001;1;P104382;1;58.95;SALE;06-04-2024 15:00:23
S06/20240406/00001;2;P101298;1;199.67;SALE;06-04-2024 15:00:23
S06/20240406/00001;3;DISC;1;-18.86;DISCOUNT;06-04-2024 15:00:23
S06/20240406/00001;4;TAX;1;24.95;TAX;06-04-2024 15:00:23
S06/20240406/00001;5;TENDER;1;264.71;TENDER;06-04-2024 15:00:23
S06/20240406/00002;1;P102833;3;680.71;SALE;06-04-2024 21:32:11
S06/20240406/00002;2;P105119;4;91.19;SALE;06-04-2024 21:32:11
S06/20240406/00002;3;P108032;2;660.37;SALE;06-04-2024 21:32:11
S06/20240406/00002;4;TAX;1;326.25;TAX;06-04-2024 21:32:11
S06/20240406/00002;5;TENDER;1;4053.88;TENDER;06-04-2024 21:32:11
S06/20240406/00003;1;P100330;1;188.77;SALE;06-04-2024 14:10:19
S06/20240406/00003;2;P107899;1;197.21;SALE;06-04-2024 14:10:19
S06/20240406/00003;3;P103273;2;340.81;SALE;06-04-2024 14:10:19
S06/20240406/00003;4;P101961;3;679.58;SALE;06-04-2024 14:10:19
S06/20240406/00003;5;P105069;2;162.60;SALE;06-04-2024 14:10:19
S06/20240406/00003;6;TAX;1;526.60;TAX;06-04-2024 14:10:19
S06/20240406/00003;7;TENDER;1;3958.14;TENDER;06-04-2024 14:10:19
S06/20240406/00004;1;P107859;-1;130.84;RETURN;06-04-2024 18:16:17
S06/20240406/00004;2;P103946;-1;328.70;RETURN;06-04-2024 18:16:17
S06/20240406/00004;3;P100394;-1;320.36;RETURN;06-04-2024 18:16:17
S06/20240406/00004;4;TAX;1;-44.99;TAX;06-04-2024 18:16:17
S06/20240406/00004;5;TENDER;1;-824.89;TENDER;06-04-2024 18:16:17
S06/20240406/00005;1;P108179;1;290.92;SALE;06-04-2024 17:20:58
S06/20240406/00005;2;P107115;1;173.36;SALE;06-04-2024 17:20:58
S06/20240406/00005;3;P100816;2;742.63;SALE;06-04-2024 17:20:58
S06/20240406/00005;4;P100135;3;67.67;SALE;06-04-2024 17:20:58
S06/20240406/00005;5;P107890;1;133.07;SALE;06-04-2024 17:20:58
S06/20240406/00005;6;P105901;2;73.95;SALE;06-04-2024 17:20:58
S06/20240406/00005;7;P100791;2;40.18;SALE;06-04-2024 17:20:58
S06/20240406/00005;8;P108239;1;256.06;SALE;06-04-2024 17:20:58
S06/20240406/00005;9;P103637;2;338.13;SALE;06-04-2024 17:20:58
S06/20240406/00005;10;P102035;3;493.95;SALE;06-04-2024 17:20:58
S06/20240406/00005;11;P105112;1;179.95;SALE;06-04-2024 17:20:58
S06/20240406/00005;12;P103542;3;398.89;SALE;06-04-2024 17:20:58
S06/20240406/00005;13;TAX;1;654.89;TAX;06-04-2024 17:20:58
S06/20240406/00005;14;TENDER;1;6959.56;TENDER;06-04-2024 17:20:58
S06/20240406/00006;1;P101359;1;438.42;SALE;06-04-2024 18:12:52
S06/20240406/00006;2;P106067;2;417.22;SALE;06-04-2024 18:12:52
S06/20240406/00006;3;P104891;3;692.46;SALE;06-04-2024 18:12:52
S06/20240406/00006;4;TAX;1;369.92;TAX;06-04-2024 18:12:52
S06/20240406/00006;5;TENDER;1;3720.16;TENDER;06-04-2024 18:12:52
S06/20240406/00007;1;P106181;3;885.95;SALE;06-04-2024 14:21:22
S06/20240406/00007;2;P107759;3;229.95;SALE;06-04-2024 14:21:22
S06/20240406/00007;3;TAX;1;0.00;TAX;06-04-2024 14:21:22
S06/20240406/00007;4;TENDER;1;3347.70;TENDER;06-04-2024 14:21:22
S06/20240406/00008;1;P106027;1;1436.61;SALE;06-04-2024 09:21:33
S06/20240406/00008;2;P103273;1;340.81;SALE;06-04-2024 09:21:33
S06/20240406/00008;3;P106133;6;307.37;SALE;06-04-2024 09:21:33
S06/20240406/00008;4;P105365;3;393.76;SALE;06-04-2024 09:21:33
S06/20240406/00008;5;TAX;1;514.61;TAX;06-04-2024 09:21:33
S06/20240406/00008;6;TENDER;1;5317.53;TENDER;06-04-2024 09:21:33
S06/20240406/00009;1;P100172;2;171.71;SALE;06-04-2024 16:15:23
S06/20240406/00009;2;P106965;4;78.22;SALE;06-04-2024 16:15:23
S06/20240406/00009;3;P106553;2;139.74;SALE;06-04-2024 16:15:23
S06/20240406/00009;4;P101515;1;53.95;SALE;06-04-2024 16:15:23
S06/20240406/00009;5;P100632;1;331.55;SALE;06-04-2024 16:15:23
S06/20240406/00009;6;TAX;1;142.80;TAX;06-04-2024 16:15:23
S06/20240406/00009;7;TENDER;1;1464.08;TENDER;06-04-2024 16:15:23
S06/20240406/00010;1;P103231;2;219.95;SALE;06-04-2024 22:20:44
S06/20240406/00010;2;P100879;3;155.98;SALE;06-04-2024 22:20:44
S06/20240406/00010;3;P101904;2;634.24;SALE;06-04-2024 22:20:44
S06/20240406/00010;4;P104533;1;256.47;SALE;06-04-2024 22:20:44
S06/20240406/00010;5;P102286;2;238.95;SALE;06-04-2024 22:20:44
S06/20240406/00010;6;DISC;1;-158.41;DISCOUNT;06-04-2024 22:20:44
S06/20240406/00010;7;TAX;1;330.16;TAX;06-04-2024 22:20:44
S06/20240406/00010;8;TENDER;1;3082.44;TENDER;06-04-2024 22:20:44
S06/20240406/00011;1;P104541;5;144.95;SALE;06-04-2024 19:44:41
S06/20240406/00011;2;P105929;1;11.18;SALE;06-04-2024 19:44:41
S06/20240406/00011;3;P101440;2;234.68;SALE;06-04-2024 19:44:41
S06/20240406/00011;4;P107393;4;413.99;SALE;06-04-2024 19:44:41
S06/20240406/00011;5;TAX;1;236.97;TAX;06-04-2024 19:44:41
S06/20240406/00011;6;TENDER;1;3098.22;TENDER;06-04-2024 19:44:41
S06/20240406/00012;1;P100428;2;122.83;SALE;06-04-2024 12:23:47
S06/20240406/00012;2;P100940;2;171.39;SALE;06-04-2024 12:23:47
S06/20240406/00012;3;DISC;1;-43.49;DISCOUNT;06-04-2024 12:23:47
S06/20240406/00012;4;TAX;1;57.14;TAX;06-04-2024 12:23:47
S06/20240406/00012;5;TENDER;1;602.09;TENDER;06-04-2024 12:23:47
S06/20240406/00013;1;P101740;3;800.86;SALE;06-04-2024 13:09:56
S06/20240406/00013;2;P107432;1;41.96;SALE;06-04-2024 13:09:56
S06/20240406/00013;3;P107149;2;145.83;SALE;06-04-2024 13:09:56
S06/20240406/00013;4;P103682;2;372.67;SALE;06-04-2024 13:09:56
S06/20240406/00013;5;DISC;1;-257.96;DISCOUNT;06-04-2024 13:09:56
S06/20240406/00013;6;TAX;1;174.77;TAX;06-04-2024 13:09:56
S06/20240406/00013;7;TENDER;1;3398.35;TENDER;06-04-2024 13:09:56
S06/20240406/00014;1;P102184;3;327.95;SALE;06-04-2024 13:21:55
S06/20240406/00014;2;P106106;1;219.14;SALE;06-04-2024 13:21:55
S06/20240406/00014;3;P108313;2;372.95;SALE;06-04-2024 13:21:55
S06/20240406/00014;4;DISC;1;-196.00;DISCOUNT;06-04-2024 13:21:55
S06/20240406/00014;5;TAX;1;115.98;TAX;06-04-2024 13:21:55
S06/20240406/00014;6;TENDER;1;1868.87;TENDER;06-04-2024 13:21:55
S06/20240406/00015;1;P103461;2;104.95;SALE;06-04-2024 18:06:57
S06/20240406/00015;2;P104008;2;107.37;SALE;06-04-2024 18:06:57
S06/20240406/00015;3;P107920;1;109.22;SALE;06-04-2024 18:06:57
S06/20240406/00015;4;P105369;2;135.84;SALE;06-04-2024 18:06:57
S06/20240406/00015;5;P104417;2;322.95;SALE;06-04-2024 18:06:57
S06/20240406/00015;6;P102794;3;416.24;SALE;06-04-2024 18:06:57
S06/20240406/00015;7;P104658;3;73.05;SALE;06-04-2024 18:06:57
S06/20240406/00015;8;TAX;1;192.95;TAX;06-04-2024 18:06:57
S06/20240406/00015;9;TENDER;1;3112.26;TENDER;06-04-2024 18:06:57
S06/20240406/00016;1;P101404;1;214.54;SALE;06-04-2024 14:46:32
S06/20240406/00016;2;P101558;3;44.31;SALE;06-04-2024 14:46:32
S06/20240406/00016;3;P103946;2;328.70;SALE;06-04-2024 14:46:32
S06/20240406/00016;4;P103680;1;210.26;SALE;06-04-2024 14:46:32
S06/20240406/00016;5;P103413;1;1296.43;SALE;06-04-2024 14:46:32
S06/20240406/00016;6;P106399;1;1107.95;SALE;06-04-2024 14:46:32
S06/20240406/00016;7;TAX;1;232.43;TAX;06-04-2024 14:46:32
S06/20240406/00016;8;TENDER;1;3851.94;TENDER;06-04-2024 14:46:32
S06/20240406/00017;1;P108216;1;71.71;SALE;06-04-2024 19:35:30
S06/20240406/00017;2;P107667;3;338.95;SALE;06-04-2024 19:35:30
S06/20240406/00017;3;P107597;2;519.83;SALE;06-04-2024 19:35:30
S06/20240406/00017;4;P108292;1;104.02;SALE;06-04-2024 19:35:30
S06/20240406/00017;5;P101332;4;400.98;SALE;06-04-2024 19:35:30
S06/20240406/00017;6;P106751;3;132.55;SALE;06-04-2024 19:35:30
S06/20240406/00017;7;TAX;1;486.18;TAX;06-04-2024 19:35:30
S06/20240406/00017;8;TENDER;1;4719.99;TENDER;06-04-2024 19:35:30
S06/20240406/00018;1;P106624;1;96.88;SALE;06-04-2024 16:26:08
S06/20240406/00018;2;P102735;1;517.39;SALE;06-04-2024 16:26:08
S06/20240406/00018;3;P101101;5;74.25;SALE;06-04-2024 16:26:08
S06/20240406/00018;4;P106599;1;224.95;SALE;06-04-2024 16:26:08
S06/20240406/00018;5;P100326;1;44.54;SALE;06-04-2024 16:26:08
S06/20240406/00018;6;P101184;1;55.55;SALE;06-04-2024 16:26:08
S06/20240406/00018;7;TAX;1;163.61;TAX;06-04-2024 16:26:08
S06/20240406/00018;8;TENDER;1;1474.17;TENDER;06-04-2024 16:26:08
S06/20240406/00019;1;P102207;2;342.36;SALE;06-04-2024 18:50:33
S06/20240406/00019;2;P100528;2;623.32;SALE;06-04-2024 18:50:33
S06/20240406/00019;3;P101697;2;85.25;SALE;06-04-2024 18:50:33
S06/20240406/00019;4;P100658;3;50.53;SALE;06-04-2024 18:50:33
S06/20240406/00019;5;P101048;2;188.58;SALE;06-04-2024 18:50:33
S06/20240406/00019;6;P103461;2;104.95;SALE;06-04-2024 18:50:33
S06/20240406/00019;7;P104593;2;867.34;SALE;06-04-2024 18:50:33
S06/20240406/00019;8;TAX;1;334.37;TAX;06-04-2024 18:50:33
S06/20240406/00019;9;TENDER;1;4909.56;TENDER;06-04-2024 18:50:33
S06/20240406/00020;1;P105835;1;243.66;SALE;06-04-2024 17:32:47
S06/20240406/00020;2;P105337;4;31.85;SALE;06-04-2024 17:32:47
S06/20240406/00020;3;P101428;1;394.08;SALE;06-04-2024 17:32:47
S06/20240406/00020;4;DISC;1;-19.39;DISCOUNT;06-04-2024 17:32:47
S06/20240406/00020;5;TAX;1;87.22;TAX;06-04-2024 17:32:47
S06/20240406/00020;6;TENDER;1;832.97;TENDER;06-04-2024 17:32:47
S06/20240406/00021;1;P100172;1;171.71;SALE;06-04-2024 13:17:53
S06/20240406/00021;2;P106221;2;31.65;SALE;06-04-2024 13:17:53
S06/20240406/00021;3;TAX;1;19.98;TAX;06-04-2024 13:17:53
S06/20240406/00021;4;TENDER;1;254.99;TENDER;06-04-2024 13:17:53
S06/20240406/00022;1;P104600;1;48.49;SALE;06-04-2024 17:31:56
S06/20240406/00022;2;P100164;2;581.13;SALE;06-04-2024 17:31:56
S06/20240406/00022;3;P102371;2;58.36;SALE;06-04-2024 17:31:56
S06/20240406/00022;4;DISC;1;-56.68;DISCOUNT;06-04-2024 17:31:56
S06/20240406/00022;5;TAX;1;202.60;TAX;06-04-2024 17:31:56
S06/20240406/00022;6;TENDER;1;1473.39;TENDER;06-04-2024 17:31:56
S06/20240406/00023;1;P103600;3;98.09;SALE;06-04-2024 14:28:37
S06/20240406/00023;2;P107542;3;162.57;SALE;06-04-2024 14:28:37
S06/20240406/00023;3;P107217;5;259.95;SALE;06-04-2024 14:28:37
S06/20240406/00023;4;P104558;2;396.14;SALE;06-04-2024 14:28:37
S06/20240406/00023;5;TAX;1;265.76;TAX;06-04-2024 14:28:37
S06/20240406/00023;6;TENDER;1;3139.77;TENDER;06-04-2024 14:28:37
S06/20240406/00024;1;P108060;3;217.09;SALE;06-04-2024 11:42:39
S06/20240406/00024;2;P104361;3;1350.95;SALE;06-04-2024 11:42:39
S06/20240406/00024;3;P100319;2;48.05;SALE;06-04-2024 11:42:39
S06/20240406/00024;4;P106424;3;535.14;SALE;06-04-2024 11:42:39
