bill_no,line_no,product_code,qty,unit_price,line_type,ts
S02/20240822/00001,1,P100494,3,67.32,SALE,2024-08-22T18:36:13
S02/20240822/00001,2,P108076,3,144.05,SALE,2024-08-22T18:36:13
S02/20240822/00001,3,P102342,4,107.02,SALE,2024-08-22T18:36:13
S02/20240822/00001,4,P102353,3,139.83,SALE,2024-08-22T18:36:13
S02/20240822/00001,5,TAX,1,186.48,TAX,2024-08-22T18:36:13
S02/20240822/00001,6,TENDER,1,1668.16,TENDER,2024-08-22T18:36:13
S02/20240822/00002,1,P100221,1,140.95,SALE,2024-08-22T17:57:51
S02/20240822/00002,2,P102835,2,101.19,SALE,2024-08-22T17:57:51
S02/20240822/00002,3,P104212,3,400.09,SALE,2024-08-22T17:57:51
S02/20240822/00002,4,TAX,1,257.25,TAX,2024-08-22T17:57:51
S02/20240822/00002,5,TENDER,1,1800.85,TENDER,2024-08-22T17:57:51
S02/20240822/00003,1,P103202,1,295.26,SALE,2024-08-22T19:33:27
S02/20240822/00003,2,P102415,1,1245.81,SALE,2024-08-22T19:33:27
S02/20240822/00003,3,P102096,2,982.72,SALE,2024-08-22T19:33:27
S02/20240822/00003,4,P105923,2,245.29,SALE,2024-08-22T19:33:27
S02/20240822/00003,5,P102460,1,582.21,SALE,2024-08-22T19:33:27
S02/20240822/00003,6,TAX,1,387.21,TAX,2024-08-22T19:33:27
S02/20240822/00003,7,TENDER,1,4966.51,TENDER,2024-08-22T19:33:27
S02/20240822/00004,1,P101923,2,484.95,SALE,2024-08-22T15:14:06
S02/20240822/00004,2,P107026,1,65.23,SALE,2024-08-22T15:14:06
S02/20240822/00004,3,P103319,1,356.46,SALE,2024-08-22T15:14:06
S02/20240822/00004,4,P102255,2,167.76,SALE,2024-08-22T15:14:06
S02/20240822/00004,5,TAX,1,204.15,TAX,2024-08-22T15:14:06
S02/20240822/00004,6,TENDER,1,1931.26,TENDER,2024-08-22T15:14:06
S02/20240822/00005,1,P108125,2,129.06,SALE,2024-08-22T16:33:31
S02/20240822/00005,2,P103600,2,107.84,SALE,2024-08-22T16:33:31
S02/20240822/00005,3,P101876,4,71.98,SALE,2024-08-22T16:33:31
S02/20240822/00005,4,P107549,2,47.87,SALE,2024-08-22T16:33:31
S02/20240822/00005,5,TAX,1,42.41,TAX,2024-08-22T16:33:31
S02/20240822/00005,6,TENDER,1,899.87,TENDER,2024-08-22T16:33:31
S02/20240822/00006,1,P107903,2,22.86,SALE,2024-08-22T13:03:44
S02/20240822/00006,2,TAX,1,8.23,TAX,2024-08-22T13:03:44
S02/20240822/00006,3,TENDER,1,53.95,TENDER,2024-08-22T13:03:44
S02/20240822/00007,1,P102103,4,363.83,SALE,2024-08-22T19:54:55
S02/20240822/00007,2,P102982,2,256.21,SALE,2024-08-22T19:54:55
S02/20240822/00007,3,P108234,2,33.09,SALE,2024-08-22T19:54:55
S02/20240822/00007,4,P102581,1,189.36,SALE,2024-08-22T19:54:55
S02/20240822/00007,5,P100403,2,71.73,SALE,2024-08-22T19:54:55
S02/20240822/00007,6,P103004,3,82.09,SALE,2024-08-22T19:54:55
S02/20240822/00007,7,TAX,1,405.10,TAX,2024-08-22T19:54:55
S02/20240822/00007,8,TENDER,1,3018.11,TENDER,2024-08-22T19:54:55
S02/20240822/00008,1,P105003,2,285.67,SALE,2024-08-22T18:14:37
S02/20240822/00008,2,P101747,1,245.75,SALE,2024-08-22T18:14:37
S02/20240822/00008,3,P107933,2,1146.02,SALE,2024-08-22T18:14:37
S02/20240822/00008,4,P103620,1,474.03,SALE,2024-08-22T18:14:37
S02/20240822/00008,5,P100121,2,107.67,SALE,2024-08-22T18:14:37
S02/20240822/00008,6,TAX,1,400.94,TAX,2024-08-22T18:14:37
S02/20240822/00008,7,TENDER,1,4199.44,TENDER,2024-08-22T18:14:37
S02/20240822/00009,1,P102768,3,158.73,SALE,2024-08-22T09:37:15
S02/20240822/00009,2,P105997,1,109.75,SALE,2024-08-22T09:37:15
S02/20240822/00009,3,P101492,2,113.44,SALE,2024-08-22T09:37:15
S02/20240822/00009,4,P102616,1,79.27,SALE,2024-08-22T09:37:15
S02/20240822/00009,5,P105797,1,254.07,SALE,2024-08-22T09:37:15
S02/20240822/00009,6,TAX,1,192.04,TAX,2024-08-22T09:37:15
S02/20240822/00009,7,TENDER,1,1338.20,TENDER,2024-08-22T09:37:15
S02/20240822/00010,1,P104011,1,657.72,SALE,2024-08-22T13:29:02
S02/20240822/00010,2,P107301,3,945.94,SALE,2024-08-22T13:29:02
S02/20240822/00010,3,P101648,1,334.22,SALE,2024-08-22T13:29:02
