bill_no,line_no,product_code,qty,unit_price,line_type,ts
S02/20240228/00001,1,P101681,3,132.46,SALE,2024-02-28T21:27:50
S02/20240228/00001,2,P106720,2,126.28,SALE,2024-02-28T21:27:50
S02/20240228/00001,3,P100086,2,88.95,SALE,2024-02-28T21:27:50
S02/20240228/00001,4,P103348,2,437.31,SALE,2024-02-28T21:27:50
S02/20240228/00001,5,P101470,2,155.81,SALE,2024-02-28T21:27:50
S02/20240228/00001,6,P107639,2,128.49,SALE,2024-02-28T21:27:50
S02/20240228/00001,7,TAX,1,176.61,TAX,2024-02-28T21:27:50
S02/20240228/00001,8,TENDER,1,2447.67,TENDER,2024-02-28T21:27:50
S02/20240228/00002,1,P104854,5,35.76,SALE,2024-02-28T15:14:50
S02/20240228/00002,2,P101184,1,54.95,SALE,2024-02-28T15:14:50
S02/20240228/00002,3,DISC,1,-23.89,DISCOUNT,2024-02-28T15:14:50
S02/20240228/00002,4,TAX,1,5.92,TAX,2024-02-28T15:14:50
S02/20240228/00002,5,TENDER,1,215.78,TENDER,2024-02-28T15:14:50
S02/20240228/00003,1,P106844,1,22.95,SALE,2024-02-28T17:32:23
S02/20240228/00003,2,P102103,3,345.70,SALE,2024-02-28T17:32:23
S02/20240228/00003,3,P100044,3,737.05,SALE,2024-02-28T17:32:23
S02/20240228/00003,4,P106106,2,245.50,SALE,2024-02-28T17:32:23
S02/20240228/00003,5,P100838,3,37.95,SALE,2024-02-28T17:32:23
S02/20240228/00003,6,TAX,1,550.22,TAX,2024-02-28T17:32:23
S02/20240228/00003,7,TENDER,1,4426.27,TENDER,2024-02-28T17:32:23
S02/20240228/00004,1,P102290,4,547.95,SALE,2024-02-28T19:13:48
S02/20240228/00004,2,P105575,1,430.13,SALE,2024-02-28T19:13:48
S02/20240228/00004,3,DISC,1,-117.53,DISCOUNT,2024-02-28T19:13:48
S02/20240228/00004,4,TAX,1,271.77,TAX,2024-02-28T19:13:48
S02/20240228/00004,5,TENDER,1,2776.17,TENDER,2024-02-28T19:13:48
S02/20240228/00005,1,P103563,3,21.95,SALE,2024-02-28T16:12:35
S02/20240228/00005,2,P108082,2,218.64,SALE,2024-02-28T16:12:35
S02/20240228/00005,3,P104898,2,161.27,SALE,2024-02-28T16:12:35
S02/20240228/00005,4,P101547,3,57.95,SALE,2024-02-28T16:12:35
S02/20240228/00005,5,P102755,2,68.95,SALE,2024-02-28T16:12:35
S02/20240228/00005,6,DISC,1,-26.58,DISCOUNT,2024-02-28T16:12:35
S02/20240228/00005,7,TAX,1,119.42,TAX,2024-02-28T16:12:35
S02/20240228/00005,8,TENDER,1,1230.26,TENDER,2024-02-28T16:12:35
S02/20240228/00006,1,P107733,2,55.17,SALE,2024-02-28T11:14:14
S02/20240228/00006,2,P105860,4,141.88,SALE,2024-02-28T11:14:14
S02/20240228/00006,3,P107463,2,177.06,SALE,2024-02-28T11:14:14
S02/20240228/00006,4,P103171,1,56.95,SALE,2024-02-28T11:14:14
S02/20240228/00006,5,P106415,3,911.99,SALE,2024-02-28T11:14:14
S02/20240228/00006,6,TAX,1,400.42,TAX,2024-02-28T11:14:14
S02/20240228/00006,7,TENDER,1,4225.32,TENDER,2024-02-28T11:14:14
S02/20240228/00007,1,P102682,4,95.25,SALE,2024-02-28T20:19:37
S02/20240228/00007,2,P107542,2,172.84,SALE,2024-02-28T20:19:37
S02/20240228/00007,3,P101018,1,134.17,SALE,2024-02-28T20:19:37
S02/20240228/00007,4,TAX,1,19.05,TAX,2024-02-28T20:19:37
S02/20240228/00007,5,TENDER,1,879.90,TENDER,2024-02-28T20:19:37
S02/20240228/00008,1,P104168,4,512.27,SALE,2024-02-28T18:04:41
S02/20240228/00008,2,P102129,2,252.76,SALE,2024-02-28T18:04:41
S02/20240228/00008,3,P102674,1,450.95,SALE,2024-02-28T18:04:41
S02/20240228/00008,4,P100693,2,99.05,SALE,2024-02-28T18:04:41
S02/20240228/00008,5,P107400,2,282.29,SALE,2024-02-28T18:04:41
S02/20240228/00008,6,P103413,2,1296.43,SALE,2024-02-28T18:04:41
S02/20240228/00008,7,TAX,1,475.83,TAX,2024-02-28T18:04:41
S02/20240228/00008,8,TENDER,1,6836.92,TENDER,2024-02-28T18:04:41
S02/20240228/00009,1,P102849,2,641.17,SALE,2024-02-28T19:59:59
S02/20240228/00009,2,P106405,3,39.79,SALE,2024-02-28T19:59:59
S02/20240228/00009,3,P105377,3,262.95,SALE,2024-02-28T19:59:59
S02/20240228/00009,4,P105106,2,101.21,SALE,2024-02-28T19:59:59
S02/20240228/00009,5,DISC,1,-177.93,DISCOUNT,2024-02-28T19:59:59
S02/20240228/00009,6,TAX,1,283.68,TAX,2024-02-28T19:59:59
S02/20240228/00009,7,TENDER,1,2498.73,TENDER,2024-02-28T19:59:59
S02/20240228/00010,1,P103616,4,621.95,SALE,2024-02-28T17:54:13
S02/20240228/00010,2,P102305,1,116.95,SALE,2024-02-28T17:54:13
S02/20240228/00010,3,P100308,4,277.54,SALE,2024-02-28T17:54:13
S02/20240228/00010,4,P105198,3,14.08,SALE,2024-02-28T17:54:13
