bill_no,line_no,product_code,qty,unit_price,line_type,ts
S04/20240401/00001,1,P106133,5,307.37,SALE,2024-04-01T16:01:22
S04/20240401/00001,2,P104097,4,319.17,SALE,2024-04-01T16:01:22
S04/20240401/00001,3,P106833,1,397.38,SALE,2024-04-01T16:01:22
S04/20240401/00001,4,P104587,5,252.25,SALE,2024-04-01T16:01:22
S04/20240401/00001,5,P105908,1,638.48,SALE,2024-04-01T16:01:22
S04/20240401/00001,6,P107843,3,430.45,SALE,2024-04-01T16:01:22
S04/20240401/00001,7,P101258,4,208.34,SALE,2024-04-01T16:01:22
S04/20240401/00001,8,TAX,1,978.80,TAX,2024-04-01T16:01:22
S04/20240401/00001,9,TENDER,1,8214.15,TENDER,2024-04-01T16:01:22
S04/20240401/00002,1,P103606,1,178.05,SALE,2024-04-01T14:45:38
S04/20240401/00002,2,P103864,2,424.35,SALE,2024-04-01T14:45:38
S04/20240401/00002,3,P105139,1,100.45,SALE,2024-04-01T14:45:38
S04/20240401/00002,4,P103645,3,241.18,SALE,2024-04-01T14:45:38
S04/20240401/00002,5,P103452,2,1039.07,SALE,2024-04-01T14:45:38
S04/20240401/00002,6,TAX,1,167.30,TAX,2024-04-01T14:45:38
S04/20240401/00002,7,TENDER,1,4096.18,TENDER,2024-04-01T14:45:38
S04/20240401/00003,1,P106584,2,235.23,SALE,2024-04-01T09:03:42
S04/20240401/00003,2,P108361,1,69.61,SALE,2024-04-01T09:03:42
S04/20240401/00003,3,P104842,1,357.87,SALE,2024-04-01T09:03:42
S04/20240401/00003,4,TAX,1,42.94,TAX,2024-04-01T09:03:42
S04/20240401/00003,5,TENDER,1,940.88,TENDER,2024-04-01T09:03:42
S04/20240401/00004,1,P108239,1,256.06,SALE,2024-04-01T13:04:31
S04/20240401/00004,2,P102290,2,547.95,SALE,2024-04-01T13:04:31
S04/20240401/00004,3,P105400,1,48.10,SALE,2024-04-01T13:04:31
S04/20240401/00004,4,P103927,2,206.11,SALE,2024-04-01T13:04:31
S04/20240401/00004,5,TAX,1,206.87,TAX,2024-04-01T13:04:31
S04/20240401/00004,6,TENDER,1,2019.15,TENDER,2024-04-01T13:04:31
S04/20240401/00005,1,P108326,2,439.67,SALE,2024-04-01T09:33:29
S04/20240401/00005,2,P102054,1,133.39,SALE,2024-04-01T09:33:29
S04/20240401/00005,3,P103118,1,40.95,SALE,2024-04-01T09:33:29
S04/20240401/00005,4,P106151,1,289.47,SALE,2024-04-01T09:33:29
S04/20240401/00005,5,TAX,1,148.97,TAX,2024-04-01T09:33:29
S04/20240401/00005,6,TENDER,1,1492.12,TENDER,2024-04-01T09:33:29
S04/20240401/00006,1,P100889,3,976.95,SALE,2024-04-01T14:16:27
S04/20240401/00006,2,P106143,1,56.15,SALE,2024-04-01T14:16:27
S04/20240401/00006,3,P100479,1,342.53,SALE,2024-04-01T14:16:27
S04/20240401/00006,4,TAX,1,197.75,TAX,2024-04-01T14:16:27
S04/20240401/00006,5,TENDER,1,3527.28,TENDER,2024-04-01T14:16:27
S04/20240401/00007,1,P106424,2,535.14,SALE,2024-04-01T15:32:32
S04/20240401/00007,2,P100722,3,287.33,SALE,2024-04-01T15:32:32
S04/20240401/00007,3,P101052,1,198.99,SALE,2024-04-01T15:32:32
S04/20240401/00007,4,P106802,2,689.06,SALE,2024-04-01T15:32:32
S04/20240401/00007,5,P100418,1,204.95,SALE,2024-04-01T15:32:32
S04/20240401/00007,6,TAX,1,158.24,TAX,2024-04-01T15:32:32
S04/20240401/00007,7,TENDER,1,3872.57,TENDER,2024-04-01T15:32:32
S04/20240401/00008,1,P103559,1,370.21,SALE,2024-04-01T18:55:57
S04/20240401/00008,2,P107215,3,153.85,SALE,2024-04-01T18:55:57
S04/20240401/00008,3,P101283,3,263.48,SALE,2024-04-01T18:55:57
S04/20240401/00008,4,P107163,1,171.95,SALE,2024-04-01T18:55:57
S04/20240401/00008,5,P102248,3,21.80,SALE,2024-04-01T18:55:57
S04/20240401/00008,6,P105507,1,20.17,SALE,2024-04-01T18:55:57
S04/20240401/00008,7,TAX,1,224.77,TAX,2024-04-01T18:55:57
S04/20240401/00008,8,TENDER,1,2104.49,TENDER,2024-04-01T18:55:57
S04/20240401/00009,1,P100005,5,95.17,SALE,2024-04-01T16:21:41
S04/20240401/00009,2,P100686,2,787.42,SALE,2024-04-01T16:21:41
