bill_no;line_no;item_code;quantity;rate;type;txn_time
S09/20240515/00001;1;P105997;2;109.75;SALE;15-05-2024 23:18:58
S09/20240515/00001;2;P103682;2;372.67;SALE;15-05-2024 23:18:58
S09/20240515/00001;3;P106720;1;126.28;SALE;15-05-2024 23:18:58
S09/20240515/00001;4;P106015;2;150.41;SALE;15-05-2024 23:18:58
S09/20240515/00001;5;TAX;1;203.97;TAX;15-05-2024 23:18:58
S09/20240515/00001;6;TENDER;1;1595.91;TENDER;15-05-2024 23:18:58
S09/20240515/00002;1;P107564;4;303.45;SALE;15-05-2024 23:08:24
S09/20240515/00002;2;P101090;1;22.95;SALE;15-05-2024 23:08:24
S09/20240515/00002;3;P105918;2;297.71;SALE;15-05-2024 23:08:24
S09/20240515/00002;4;P107246;1;310.13;SALE;15-05-2024 23:08:24
S09/20240515/00002;5;P108162;4;221.93;SALE;15-05-2024 23:08:24
S09/20240515/00002;6;P106297;3;155.50;SALE;15-05-2024 23:08:24
S09/20240515/00002;7;TAX;1;441.14;TAX;15-05-2024 23:08:24
S09/20240515/00002;8;TENDER;1;3937.66;TENDER;15-05-2024 23:08:24
S09/20240515/00003;1;P106415;1;911.99;SALE;15-05-2024 14:38:14
S09/20240515/00003;2;P100810;2;200.65;SALE;15-05-2024 14:38:14
S09/20240515/00003;3;TAX;1;129.50;TAX;15-05-2024 14:38:14
S09/20240515/00003;4;TENDER;1;1442.79;TENDER;15-05-2024 14:38:14
S09/20240515/00004;1;P101710;2;307.38;SALE;15-05-2024 12:17:46
S09/20240515/00004;2;P101279;1;224.83;SALE;15-05-2024 12:17:46
S09/20240515/00004;3;P103438;3;187.96;SALE;15-05-2024 12:17:46
S09/20240515/00004;4;TAX;1;101.97;TAX;15-05-2024 12:17:46
S09/20240515/00004;5;TENDER;1;1505.44;TENDER;15-05-2024 12:17:46
S09/20240515/00005;1;P100985;2;252.81;SALE;15-05-2024 16:08:18
S09/20240515/00005;2;P105980;1;263.95;SALE;15-05-2024 16:08:18
S09/20240515/00005;3;P100007;3;129.42;SALE;15-05-2024 16:08:18
S09/20240515/00005;4;TAX;1;192.57;TAX;15-05-2024 16:08:18
S09/20240515/00005;5;TENDER;1;1350.40;TENDER;15-05-2024 16:08:18
S09/20240515/00006;1;P104251;2;79.68;SALE;15-05-2024 16:15:46
S09/20240515/00006;2;P108162;3;221.93;SALE;15-05-2024 16:15:46
S09/20240515/00006;3;P103259;4;298.27;SALE;15-05-2024 16:15:46
S09/20240515/00006;4;P108302;2;855.55;SALE;15-05-2024 16:15:46
S09/20240515/00006;5;TAX;1;147.53;TAX;15-05-2024 16:15:46
S09/20240515/00006;6;TENDER;1;3876.86;TENDER;15-05-2024 16:15:46
S09/20240515/00007;1;P100933;5;257.95;SALE;15-05-2024 21:22:48
S09/20240515/00007;2;P104975;3;496.12;SALE;15-05-2024 21:22:48
S09/20240515/00007;3;P107292;2;324.95;SALE;15-05-2024 21:22:48
S09/20240515/00007;4;P101218;2;61.39;SALE;15-05-2024 21:22:48
S09/20240515/00007;5;TAX;1;332.24;TAX;15-05-2024 21:22:48
S09/20240515/00007;6;TENDER;1;3883.03;TENDER;15-05-2024 21:22:48
S09/20240515/00008;1;P100095;3;92.95;SALE;15-05-2024 13:53:12
S09/20240515/00008;2;P103129;2;79.05;SALE;15-05-2024 13:53:12
S09/20240515/00008;3;P101440;2;234.68;SALE;15-05-2024 13:53:12
S09/20240515/00008;4;P101530;2;576.50;SALE;15-05-2024 13:53:12
S09/20240515/00008;5;P104181;1;279.95;SALE;15-05-2024 13:53:12
S09/20240515/00008;6;P107984;1;357.15;SALE;15-05-2024 13:53:12
S09/20240515/00008;7;P101732;3;1250.95;SALE;15-05-2024 13:53:12
S09/20240515/00008;8;TAX;1;798.16;TAX;15-05-2024 13:53:12
S09/20240515/00008;9;TENDER;1;7247.42;TENDER;15-05-2024 13:53:12
S09/20240515/00009;1;P107253;2;232.65;SALE;15-05-2024 13:13:20
S09/20240515/00009;2;P104401;2;208.95;SALE;15-05-2024 13:13:20
S09/20240515/00009;3;P108118;2;66.05;SALE;15-05-2024 13:13:20
S09/20240515/00009;4;P102272;1;373.95;SALE;15-05-2024 13:13:20
S09/20240515/00009;5;P106639;1;415.94;SALE;15-05-2024 13:13:20
S09/20240515/00009;6;TAX;1;151.54;TAX;15-05-2024 13:13:20
S09/20240515/00009;7;TENDER;1;1956.73;TENDER;15-05-2024 13:13:20
S09/20240515/00010;1;P104827;2;168.97;SALE;15-05-2024 16:55:45
S09/20240515/00010;2;P107063;3;374.87;SALE;15-05-2024 16:55:45
S09/20240515/00010;3;P104950;2;91.01;SALE;15-05-2024 16:55:45
S09/20240515/00010;4;TAX;1;167.72;TAX;15-05-2024 16:55:45
S09/20240515/00010;5;TENDER;1;1812.29;TENDER;15-05-2024 16:55:45
S09/20240515/00011;1;P108346;2;478.23;SALE;15-05-2024 11:38:17
S09/20240515/00011;2;P102311;1;284.95;SALE;15-05-2024 11:38:17
